parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,0.968,0.2342350900997103,0.9451339225659806,-0.4684701801994206,-2.0,-0.0,2.118114955956239,0.32776346262953626,3.0509807041252723,6.101961408250545,0.052081625126278806,120.64111463390726,20.0,1.4186359883177249,-1.9767233506380586,-2.9365836867237585,0.9277430601593635,1.0778846460228164,0.9933923458554124,0.9963574894099083
K,$K$,0.972,0.23327115968777734,0.9455845660579195,-0.4665423193755547,-2.0,-0.0,2.13848832647503,0.33091609910372555,3.0219140220390135,6.043828044078027,0.05212777144098353,120.53431661265428,20.0,1.4193123994170431,-1.9788560642073993,-2.9371495795703253,0.9366666802196026,1.0676156429153099,0.994272529522991,0.9968325564956693
K,$K$,0.976,0.23231513034479467,0.946029680212881,-0.46463026068958935,-2.0,-0.0,2.158932193493481,0.33407964441776167,2.9932982051115773,5.986596410223155,0.0521730672260289,120.42967073334984,20.0,1.4199805110402335,-1.9809241694018638,-2.9376665494646645,0.9456211780365664,1.0575059265025584,0.9951364903931537,0.9973017945701361
K,$K$,0.98,0.23136690532297918,0.9464693551212676,-0.46273381064595837,-2.0,-0.0,2.179446698319284,0.337254120438021,2.9651231501670425,5.930246300334085,0.05221753227017741,120.32712068180312,20.0,1.4206404584120347,-1.9829296412503257,-2.9381365619535873,0.9546066155036056,1.0475519274213776,0.9959846059119793,0.9977652986063549
K,$K$,0.984,0.23042638944768246,0.946903679046105,-0.4608527788953649,-2.0,-0.0,2.2000319801623474,0.3404395487062621,2.937379055401168,5.874758110802336,0.05226118581383201,120.22661195560951,20.0,1.4212923740143113,-1.984874389828318,-2.9385615052759766,0.9636230535952314,1.0377501827805469,0.9968172430662693,0.9982231616509557
K,$K$,0.988,0.22949348908554612,0.9473327384673423,-0.45898697817109224,-2.0,-0.0,2.220688176153088,0.3436359504424573,2.9100564091516743,5.820112818303349,0.05230404656647483,120.12809179484978,20.0,1.4219363876525495,-1.9867602625392455,-2.9389431935766095,0.9726705523751312,1.0280973321934481,0.9976347587161697,0.9986754748708548
K,$K$,0.992,0.22856811211342698,0.9477566181249039,-0.45713622422685396,-2.0,-0.0,2.24141542136177,0.3468433465477843,2.883145979166796,5.766291958333592,0.052346132723487884,120.03150911586445,20.0,1.4225726265204761,-1.9885890463120381,-2.9392833699765237,0.9817491710046353,1.0185901139867408,0.998437499916005,0.9991223275986388
K,$K$,0.996,0.22765016788807188,0.9481754010605327,-0.45530033577614376,-2.0,-0.0,2.262213848818746,0.3500617576077592,2.856638802346671,5.713277604693342,0.052387461982379625,119.93681444794782,20.0,1.4232012152628668,-1.990362469718321,-2.939583709506821,0.9908589677515861,1.0092253615760842,0.9992258042237793,0.9995638073766773
K,$K$,1.0,0.22673956721651956,0.9485891686584654,-0.4534791344330391,-2.0,-0.0,2.283083589536524,0.35329120389565033,2.83052617493235,5.6610523498647,0.05242805155845166,119.84395987278886,20.0,1.4238222760365966,-1.9920822050119444,-2.93984582191163,1.0,1.0,1.0,1.0
K,$K$,1.004,0.2258362223272107,0.9489980006849746,-0.4516724446544214,-2.0,-0.0,2.3040247725280394,0.3565317053753064,2.8047996431266635,5.609599286253327,0.05246791819986298,119.75289896666787,20.0,1.4244359285699946,-1.993749870094401,-2.940071254331028,1.0091723242580735,0.9909110426063094,1.0007604066950089,1.0004309895579848
K,$K$,1.008,0.22494004684178528,0.9494019753268155,-0.44988009368357057,-2.0,-0.0,2.325037524834736,0.35978328170550156,2.77945099410857,5.55890198821714,0.05250707820227329,119.6635867449116,20.0,1.42504229022055,-1.9953670304072884,-2.9402614938584306,1.0183759961704815,0.9819555878775788,1.0015073351282857,1.000856858474886
K,$K$,1.012,0.224050955747549,0.9498011692286098,-0.448101911495098,-2.0,-0.0,2.346121971544853,0.3630459522427652,2.7544722474451664,5.508944494890333,0.052545547422856276,119.57597960900726,20.0,1.4256414760310274,-1.996935200756777,-2.940417969994275,1.0276110705263868,0.9731308163970604,1.0022410877557335,1.0012776875492457
