key,label,normalized_time,n,p,q,r
theta_2,$1-n^2$,1.6616666666666258,0.4004099598704339,0.2992231597844309,0.35611006365456777,0.3718846437717979
theta_2,$1-n^2$,1.6633333333332885,0.4018060132956323,0.2979890938764491,0.3566560987660192,0.37286569986752943
theta_2,$1-n^2$,1.6649999999999512,0.40321465792492833,0.2967648438793769,0.3572169753656492,0.37386089924187893
theta_2,$1-n^2$,1.6666666666667194,0.4046357955076169,0.2955504566748851,0.35779266909125756,0.3748701881492747
theta_2,$1-n^2$,1.668333333333382,0.406069325391528,0.29434597765694787,0.35838315462034,0.37589351129612436
theta_2,$1-n^2$,1.6700000000000448,0.40751514449504067,0.2931514507774393,0.3589884055657205,0.37693081183415206
theta_2,$1-n^2$,1.6716666666667075,0.408973147273568,0.2919669185677291,0.3596083944975892,0.3779820313195953
theta_2,$1-n^2$,1.6733333333333702,0.4104432256891133,0.29079242216865486,0.36024309291804363,0.3790471096855669
theta_2,$1-n^2$,1.675000000000033,0.41192526918033795,0.28962800135990135,0.36089247123845425,0.3801259852133639
theta_2,$1-n^2$,1.6766666666666956,0.41341916463329803,0.28847369458879746,0.3615564987591266,0.38121859450299056
theta_2,$1-n^2$,1.6783333333333583,0.414924796352924,0.28732953899864394,0.36223514365055526,0.3823248724431377
theta_2,$1-n^2$,1.680000000000021,0.41644204603531615,0.2861955704566869,0.3629283729355642,0.38344475218085905
theta_2,$1-n^2$,1.6816666666666837,0.41797079274093035,0.28507182358185057,0.3636361524716294,0.3845781650911885
theta_2,$1-n^2$,1.6833333333333464,0.4195109128687268,0.2839583317723436,0.3643584469326774,0.38572504074693725
theta_2,$1-n^2$,1.6850000000000092,0.42106228013135644,0.2828551272332535,0.36509521978965576,0.3868853068889153
theta_2,$1-n^2$,1.6866666666666719,0.42262476553145745,0.28176224100424263,0.36584643328917,0.38805888939681754
theta_2,$1-n^2$,1.6883333333333346,0.42419823733913653,0.2806797029874601,0.3666120484294819,0.3892457122610164
theta_2,$1-n^2$,1.6899999999999973,0.425782561070708,0.2796075419757839,0.36739202493316414,0.39044569755550373
theta_2,$1-n^2$,1.69166666666666,0.42737759946876425,0.2785457856815075,0.3681863212157063,0.39165876541222233
theta_2,$1-n^2$,1.6933333333333227,0.4289832124836518,0.2774944607655838,0.3689948943493676,0.3928848339970306
theta_2,$1-n^2$,1.6949999999999854,0.4305992572555684,0.2764535928638518,0.3698177000436529,0.39412381948085845
theta_2,$1-n^2$,1.6966666666666483,0.43222558809421524,0.27542320659699815,0.3706546927201765,0.3953756359833053
