K,eps,alpha,beta,gamma,theta,b,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,P_star,G_4,ell_1,applied_a_below_threshold,supercritical
71.78828121488218,0.16282741428720496,0.10209762235679495,0.0008267349533335631,0.016398474267854724,2.0,0.2763017196178612,0.17442314099832792,5.733184222439764,11.466368444879528,0.04498839177620578,139.66236753772432,1.4730679921968308,-1.6928320035955293,-3.0634508935021914,False,True
101.08992241231435,0.15223920101920196,0.10950783574048388,0.0008752512097876526,0.022166275950893405,2.0,0.2505256240271627,0.31218966664096176,3.203180972514585,6.40636194502917,0.05379950064193594,116.78891499379333,1.3029588032580084,-1.967907294784047,-2.7843440056417017,True,True
72.37361372460326,0.17804654528070335,0.11217757560268579,0.0011735093209293247,0.016733377201733252,2.0,0.19702294181225086,0.4006351691170503,2.49603648677143,4.99207297354286,0.05217278441641705,120.43032353861634,1.52557341800132,-1.988829675010143,-3.3935724990352925,True,True
89.56892511744205,0.17990570207928736,0.11102831796402461,0.0008566469667922942,0.016318331131623624,2.0,0.21267502751661135,0.3283889193108671,3.0451697398880775,6.090339479776155,0.051064376345797934,123.04439526747744,1.5470688043168492,-1.949501067528197,-3.434158833968033,True,True
97.3544722189515,0.15886661265667434,0.09109194643396387,0.0008679012959099541,0.023486423144594034,2.0,0.27796533438949017,0.25652355330429344,3.898277515335131,7.796555030670262,0.05481771293130435,114.61961784238345,1.6092731895589543,-1.8805908932189814,-2.72505992153566,True,True
83.1856318748963,0.1270234205243571,0.08494391274677943,0.0010941433998575146,0.018102867746208937,2.0,0.1988954342767044,0.4295183379511423,2.328189303325508,4.656378606651016,0.046188290980073016,136.03415874145108,1.4362235864590545,-2.038752614071212,-2.80340888510063,True,True
89.15058854947122,0.148204729275423,0.09330189948027887,0.0011921546191951498,0.023503268686823696,2.0,0.22114211809010773,0.44272153042240975,2.2587561961259923,4.517512392251985,0.05618775656359965,111.82481187102687,1.51076184115637,-2.035102243091986,-2.683963512975069,True,True
77.04155395608956,0.1630578600820835,0.08698522345448918,0.0008334983054358382,0.019863926051408857,2.0,0.3093394681319518,0.15804205343390737,6.327429809169092,12.654859618338184,0.04737480837175215,132.62713925669445,1.6951695906009472,-1.5608813156977555,-2.686174107371591,False,True
91.2308537941107,0.12530690134012476,0.09597029524092122,0.0008972907583080841,0.02301073100233988,2.0,0.28109652806360225,0.24879923157677317,4.019305018196671,8.038610036393342,0.04867360023635672,129.08815613944176,1.2025152564201134,-1.955864667511346,-2.517620843089138,True,True
76.72338203599797,0.16005981053198703,0.10032210098240187,0.0008406059009407399,0.019314635672082053,2.0,0.2994789815289528,0.16854417964846863,5.933162462718634,11.866324925437269,0.04721879659836355,133.0653417668281,1.4523661205066578,-1.6368042724776901,-2.7741768173291987,False,True
82.0736715854019,0.18134241205068988,0.11362227172530052,0.0008889966183278265,0.018015918716206128,2.0,0.2469178249274736,0.2558446751008139,3.9086215087570486,7.817243017514097,0.05207191548234036,120.66361010496075,1.4987048799992329,-1.856118699571797,-3.2320017317866045,True,True
97.167961433116,0.1854492274811302,0.11220484595633036,0.0009806221802221178,0.018385648935980617,2.0,0.19295416601048862,0.46173077883766084,2.1657642198281706,4.331528439656341,0.05604514558796324,112.10935829077442,1.5912388475581416,-2.002303081418557,-3.3127361499075776,True,True
101.89744841102977,0.12932861868100778,0.08890979770424286,0.000979547152700184,0.019004138824437838,2.0,0.19039675339189543,0.49590236387009606,2.0165259794203254,4.033051958840651,0.04799120687601872,130.92367781897363,1.4018740342578355,-2.0453076906662497,-2.7558883765401565,True,True
73.42708924079072,0.17843882419775775,0.10967060095735526,0.0009723380520489655,0.018326662396104546,2.0,0.25669049360032603,0.23688115349839686,4.22152621781609,8.44305243563218,0.051511096123931,121.97731712139877,1.5198374671089747,-1.8226470090202098,-3.156902237477631,True,True
71.20984173941376,0.16529599647101245,0.11659833075863206,0.0011476205652609392,0.021456245160410132,2.0,0.2625520297357934,0.2674991675169116,3.7383293910130724,7.476658782026145,0.05406916965358933,116.20643237975975,1.3199293043406515,-1.8913432698324444,-2.891032657415178,True,True
78.13231534783807,0.15615332004912552,0.10561728261544463,0.0009070459379454718,0.02342531911707073,2.0,0.330541153924344,0.15867474206852872,6.302200255464214,12.604400510928429,0.0494400620646163,127.08692191704168,1.316947400597416,-1.5465242058106559,-2.442299616837518,False,True
89.09387935625472,0.12470987750579798,0.0835209054478376,0.0009277818175645553,0.018842728704712156,2.0,0.2279554965990885,0.330936588317133,3.021726926856787,6.043453853713574,0.04586293203253217,136.99920673895653,1.4155676253607892,-2.019515425022848,-2.7457198015275224,True,True
78.89477633229764,0.16426619973790108,0.12364543205948349,0.0011442895225992357,0.023543072623203355,2.0,0.2607828165532116,0.300711254494813,3.3254491977028717,6.6508983954057435,0.05691243587007654,110.4009204863987,1.2381762469251798,-1.9332645232812886,-2.789987912769118,True,True
81.10414054397422,0.17166167129682522,0.12168680125690079,0.000943699893605538,0.02233279558169757,2.0,0.2917871473618396,0.21174884480598233,4.722575940927863,9.445151881855725,0.05380468889927601,116.77765331831762,1.290579090923808,-1.7414904494518424,-2.7780772198125763,True,True
70.6449506152417,0.12981213996306504,0.11316988050045919,0.0009093967701232312,0.020172657303510744,2.0,0.31399922592647006,0.15984886640123572,6.255909237979241,12.511818475958481,0.04352264867604108,144.36587611999903,1.0339610221180267,-1.7072635842800963,-2.54607136856556,False,True
